[Fe/H]|RAJ2000|DEJ2000|Dist|deg
004.63869409600|-00.21595947600|-1.192|004.638694096|-00.215959476| 1.1118
025.53153632000|-00.23670443400|-1.286|025.531536320|-00.236704434| 2.4884
040.93898059000|-00.39742419500|-1.329|040.938980590|-00.397424195| 1.4566
025.95535092000|-01.08847794000|-0.671|025.955350920|-01.088477940| 2.1224
003.93553987400|-00.65315161100|-0.826|003.935539874|-00.653151611| 3.7902
025.38113064000|-00.68692693900|-1.475|025.381130640|-00.686926939| 3.4372
027.10900573000|-00.77677044400|-2.278|027.109005730|-00.776770444| 3.3136
005.70826790000|-00.32520627600|-0.204|005.708267900|-00.325206276| 2.3606
040.77576525000|-00.39488953400|-0.864|040.775765250|-00.394889534| 1.4801
041.91414116000|-00.30922578100|-2.240|041.914141160|-00.309225781| 2.7492
042.25512975000|-00.36450623400|-1.081|042.255129750|-00.364506234| 3.4044
042.49864126000|-00.25735998400|-1.171|042.498641260|-00.257359984| 3.7169
042.58603983000|-00.22445079400|-1.922|042.586039830|-00.224450794| 1.6096
024.71439994000|+00.01612243900|-1.699|024.714399940|+00.016122439| 2.5524
025.86710241000|+00.16848592200|-1.449|025.867102410|+00.168485922| 3.8418
041.71602199000|+00.07409158500|-1.317|041.716021990|+00.074091585| 3.9564
042.21970403000|+00.00098878300|-1.626|042.219704030|+00.000988783| 0.8078
042.28297077000|+00.20910019300|-0.739|042.282970770|+00.209100193| 2.1731
183.32854780000|+36.34984147000|-1.232|183.328547800|+36.349841470| 1.8752
182.30942370000|+37.13329482000|-0.666|182.309423700|+37.133294820| 2.6055
160.32781860000|+38.46385698000|-2.404|160.327818600|+38.463856980| 2.8738
168.25482500000|+35.76461914000|-1.566|168.254825000|+35.764619140| 3.1816
168.68358740000|+36.36987733000|-1.372|168.683587400|+36.369877330| 2.2042
166.47030090000|+36.80686472000|-1.698|166.470300900|+36.806864720| 2.3080
167.93946410000|+37.43438467000|-2.015|167.939464100|+37.434384670| 1.5327
168.77165550000|+34.06530713000|-2.297|168.771655500|+34.065307130| 3.8432
020.16430513000|+25.75828671000|-2.357|020.164305130|+25.758286710| 3.6247
019.67559601000|+26.15001885000|-1.182|019.675596010|+26.150018850| 1.6129
019.22555405000|+24.93967087000|-1.269|019.225554050|+24.939670870| 3.2383
018.75017393000|+25.86595654000|-1.018|018.750173930|+25.865956540| 2.1913
025.08417273000|+00.96205909500|-1.554|025.084172730|+00.962059095| 1.7842
018.30681961000|+25.91816822000|-0.951|018.306819610|+25.918168220| 1.0815
196.47464970000|+34.12293009000|-1.157|196.474649700|+34.122930090| 2.0490
019.84904913000|+25.03486109000|-1.457|019.849049130|+25.034861090| 2.0496
019.86668888000|+25.52008866000|-0.690|019.866688880|+25.520088660| 3.9958
202.59995560000|+38.13024769000|-0.927|202.599955600|+38.130247690| 2.0317
203.15819820000|+37.96337717000|-2.020|203.158198200|+37.963377170| 3.8921
156.91479500000|+33.43478724000|-1.739|156.914795000|+33.434787240| 3.2760
316.37894860000|+01.05438611200|-1.435|316.378948600|+01.054386112| 0.8357
156.46479180000|+34.12963180000|-1.489|156.464791800|+34.129631800| 2.1693
018.75653525000|+26.61912783000|-2.943|018.756535250|+26.619127830| 3.9972
164.14004090000|+36.64840532000|-1.619|164.140040900|+36.648405320| 2.0669
129.75288040000|+23.74024864000|-2.072|129.752880400|+23.740248640| 2.8459
155.25489690000|+34.42070772000|-0.751|155.254896900|+34.420707720| 2.9851
194.86723380000|+34.51637384000|-1.534|194.867233800|+34.516373840| 1.5461
211.12427110000|+31.06690437000|-1.729|211.124271100|+31.066904370| 2.1184
127.73954050000|+58.93342478000|-1.267|127.739540500|+58.933424780| 2.2652
018.39234652000|+25.36938931000|-0.995|018.392346520|+25.369389310| 1.9847
126.56253160000|+58.31091322000|-1.568|126.562531600|+58.310913220| 2.0324
213.15210040000|+32.57944958000|-1.443|213.152100400|+32.579449580| 2.3034
195.10754990000|+32.45253276000|-1.410|195.107549900|+32.452532760| 1.6519
194.99600950000|+33.04561871000|-1.265|194.996009500|+33.045618710| 3.3957
203.96915840000|+31.99117035000|-2.737|203.969158400|+31.991170350| 2.4233
128.80060480000|+07.99541088500|-2.119|128.800604800|+07.995410885| 2.1781
018.15674169000|+25.56968128000|-1.446|018.156741690|+25.569681280| 2.1278
018.10844948000|+25.29992020000|-1.178|018.108449480|+25.299920200| 3.8455
041.72256423000|+00.27591299200|-0.947|041.722564230|+00.275912992| 3.4641
024.25659743000|+23.09668958000|-0.370|024.256597430|+23.096689580| 1.8043
354.24967330000|-00.49292540500|-1.537|354.249673300|-00.492925405| 0.9853
023.71749432000|+23.46738605000|-1.582|023.717494320|+23.467386050| 1.3820
023.97572729000|+23.42363645000|-1.073|023.975727290|+23.423636450| 1.0958
087.09920424000|+82.67753966000|-1.164|087.099204240|+82.677539660| 0.3308
023.82507649000|+24.01507111000|-2.243|023.825076490|+24.015071110| 3.0120
025.98398112000|+23.57058999000|-1.519|025.983981120|+23.570589990| 0.8094
234.81551030000|+14.85236313000|-1.531|234.815510300|+14.852363130| 2.0325
207.39042860000|-03.00659942400|-1.236|207.390428600|-03.006599424| 1.6950
049.20965671000|+00.37286753700|-1.379|049.209656710|+00.372867537| 3.9454
050.82716855000|+00.27486633700|-0.462|050.827168550|+00.274866337| 1.8273
048.63705521000|+00.79977801500|-0.128|048.637055210|+00.799778015| 3.2559
049.62771705000|+01.06244707300|-0.492|049.627717050|+01.062447073| 2.9159
025.48954376000|-00.50278855900|-1.525|025.489543760|-00.502788559| 2.3072
026.09129790000|-00.52892407000|-2.505|026.091297900|-00.528924070| 1.6239
026.46547939000|-00.46235225600|-1.570|026.465479390|-00.462352256| 3.4544
042.68091710000|+00.90152606200|-1.128|042.680917100|+00.901526062| 3.9018
009.56873771800|+25.80750931000|-0.602|009.568737718|+25.807509310| 3.2491
024.67544806000|-00.06859265200|-0.700|024.675448060|-00.068592652| 1.0914
080.55020844000|+61.24023998000|-1.002|080.550208440|+61.240239980| 2.0250
019.46599700000|+24.60118931000|-1.454|019.465997000|+24.601189310| 0.4953
021.98253614000|+39.02480348000|-2.164|021.982536140|+39.024803480| 3.8682
180.73670680000|+28.38665147000|-0.747|180.736706800|+28.386651470| 1.6200
019.92567386000|+40.23750735000|-1.640|019.925673860|+40.237507350| 1.9648
129.52296940000|+09.36974243700|-0.718|129.522969400|+09.369742437| 2.0031
135.05279850000|+10.61751449000|-1.438|135.052798500|+10.617514490| 2.6956
191.29324150000|+07.33475841000|-1.346|191.293241500|+07.334758410| 1.5648
231.13960500000|+54.53672767000|-1.386|231.139605000|+54.536727670| 2.5805
023.95437024000|+22.87212886000|-1.810|023.954370240|+22.872128860| 1.8710
024.56524516000|+22.80426941000|-0.585|024.565245160|+22.804269410| 1.9770
023.61646093000|+23.34268722000|-1.008|023.616460930|+23.342687220| 2.6942
215.68631470000|-00.23145083200|-0.848|215.686314700|-00.231450832| 1.3271
113.47852890000|+34.88784560000|-2.155|113.478528900|+34.887845600| 2.5698
207.80509540000|+66.55732737000|-1.240|207.805095400|+66.557327370| 2.0629
204.32137400000|+67.17314871000|-1.440|204.321374000|+67.173148710| 2.7566
149.78004290000|+63.86302778000|-1.352|149.780042900|+63.863027780| 3.8000
148.83655990000|+62.16948090000|-0.586|148.836559900|+62.169480900| 2.9243
150.62635130000|+62.37024110000|-1.772|150.626351300|+62.370241100| 2.9041
